,Mistral Prompt 1,Qwen Prompt 1,Falcon Prompt 1,Mistral Prompt 2,Qwen Prompt 2,Falcon Prompt 2,Mistral Prompt 3,Qwen Prompt 3,Falcon Prompt 3,Finetuned Mistral
0,0.6960436701774597,0.5457659363746643,0.4401897192001343,0.6826426982879639,0.6126407384872437,0.44014203548431396,0.6001224517822266,0.5457659363746643,0.4401897192001343,0.31524401903152466
1,0.5703675150871277,0.49987420439720154,0.4270557761192322,0.4577702581882477,0.5808669328689575,0.4535553753376007,0.4482872486114502,0.49987420439720154,0.4270557761192322,0.308846116065979
2,0.21241335570812225,0.32419100403785706,0.21492721140384674,0.30605560541152954,0.32954391837120056,0.2912789285182953,0.06719677895307541,0.32419100403785706,0.21492721140384674,0.20575016736984253
3,0.4129950702190399,0.4034012258052826,0.43244504928588867,0.1875796765089035,0.376756489276886,0.3211289644241333,0.35274893045425415,0.4034012258052826,0.43244504928588867,0.44867268204689026
4,0.2308247685432434,0.14101487398147583,0.1141120195388794,0.20311321318149567,0.11718961596488953,0.11004505306482315,0.18721333146095276,0.14101487398147583,0.1141120195388794,0.16134628653526306
5,0.2998543977737427,0.2928627133369446,0.3414289653301239,0.2636980712413788,0.33423006534576416,0.3696628510951996,0.19506309926509857,0.2928627133369446,0.3414289653301239,0.4964640140533447
6,0.4280489385128021,0.38231778144836426,0.2932450473308563,0.47715386748313904,0.4169195890426636,0.3087332248687744,0.4359382390975952,0.38231778144836426,0.2932450473308563,0.576519250869751
7,0.3054538071155548,0.6823067665100098,0.5753297805786133,0.454939067363739,0.526788055896759,0.5520422458648682,0.6660894155502319,0.6823067665100098,0.5753297805786133,0.15807564556598663
8,0.6077163219451904,0.28373023867607117,0.2307630330324173,0.25085216760635376,0.5139343738555908,0.23972758650779724,0.2044328898191452,0.28373023867607117,0.2307630330324173,0.45770442485809326
9,0.36390265822410583,0.4137675166130066,0.36912593245506287,0.19992464780807495,0.4450104534626007,0.4378804564476013,0.4506013095378876,0.4137675166130066,0.36912593245506287,0.3924587070941925
10,0.40163737535476685,0.5840060114860535,0.3888663053512573,0.39481258392333984,0.5168302655220032,0.561257541179657,0.4691697657108307,0.5840060114860535,0.3888663053512573,0.2311839759349823
11,0.2868206799030304,0.18172036111354828,0.41376933455467224,0.1670575737953186,0.1251891404390335,0.3054625391960144,0.3130880892276764,0.18172036111354828,0.41376933455467224,0.5287013649940491
12,0.3158898949623108,0.26081761717796326,0.21276947855949402,0.28382691740989685,0.27948296070098877,0.27439048886299133,0.26388660073280334,0.26081761717796326,0.21276947855949402,0.5769961476325989
13,0.5267733931541443,0.2822365462779999,0.4560500979423523,0.4645669758319855,0.5891224145889282,0.4450616240501404,0.4772989749908447,0.2822365462779999,0.4560500979423523,0.6473559737205505
14,0.5584223866462708,0.35827335715293884,0.4506871700286865,0.32680007815361023,0.3519929349422455,0.3943803906440735,0.28630125522613525,0.35827335715293884,0.4506871700286865,0.22834713757038116
15,0.010353160090744495,0.014342979528009892,0.016438860446214676,-0.0764007419347763,0.07660791277885437,-0.03933023288846016,0.07148774713277817,0.014342979528009892,0.016438860446214676,0.30163559317588806
16,0.489731103181839,0.3261317312717438,0.4111636281013489,0.45639485120773315,0.46465909481048584,0.4611169993877411,0.3641103506088257,0.3261317312717438,0.4111636281013489,0.41594672203063965
17,0.1863308548927307,0.23013904690742493,0.25141164660453796,0.14365918934345245,0.2614607512950897,0.21686220169067383,0.23579566180706024,0.23013904690742493,0.25141164660453796,0.407589316368103
18,0.4670245349407196,0.28777387738227844,0.4285562336444855,0.23560117185115814,0.4104158878326416,0.24782049655914307,0.406668484210968,0.28777387738227844,0.4285562336444855,0.1697462797164917
19,0.25579607486724854,0.4098140001296997,0.3480110764503479,0.2727940082550049,0.5057582855224609,0.34103599190711975,0.33716636896133423,0.4098140001296997,0.3480110764503479,0.3413308262825012
20,0.5011548399925232,0.5181519389152527,0.265612930059433,0.40675488114356995,0.4547232687473297,0.5601809024810791,0.256760835647583,0.5181519389152527,0.265612930059433,0.2549474835395813
21,0.5954993963241577,0.6298081874847412,0.37924954295158386,0.468866229057312,0.5078471899032593,0.36582252383232117,0.4748590588569641,0.6298081874847412,0.37924954295158386,0.45762431621551514
22,0.27205997705459595,0.31303510069847107,0.33533790707588196,0.3599867820739746,0.20466835796833038,0.39099541306495667,0.43414607644081116,0.31303510069847107,0.33533790707588196,0.4991857707500458
23,0.49219927191734314,0.3343650698661804,0.30978143215179443,0.4622860550880432,0.47699740529060364,0.3616890013217926,0.34902748465538025,0.3343650698661804,0.30978143215179443,0.29874691367149353
24,0.25842171907424927,0.26247960329055786,0.348798930644989,0.1530296504497528,0.3146829605102539,0.11043469607830048,0.14596985280513763,0.26247960329055786,0.348798930644989,0.2582525312900543
25,0.359205961227417,0.38454338908195496,0.1929277926683426,0.273603618144989,0.40226656198501587,0.4084608852863312,0.1728091984987259,0.38454338908195496,0.1929277926683426,0.43865570425987244
